,AdrActCnt,CapAct1yrUSD,PriceUSD,times,OneDayReturn,NextDayReturn
199,4133.0,4821791121.59915,0.154979300467927,2018-04-10,0.0283089700614767,0.07231854126111825
200,4339.0,5170496021.77901,0.166187177403436,2018-04-11,0.07231854126111825,0.30533043201938326
201,7160.0,6749205805.8633,0.216929180076109,2018-04-12,0.30533043201938326,-0.06517840892025839
202,5682.0,6309303309.96176,0.202790081270372,2018-04-13,-0.06517840892025839,0.008845665138613956
203,3693.0,6365113294.29963,0.204583894422722,2018-04-14,0.008845665138613956,0.10415450621736921
204,4857.0,7028068526.48502,0.225892228926347,2018-04-15,0.10415450621736921,0.12531929717551793
205,7496.0,7908821134.7255,0.254200884292808,2018-04-16,0.12531929717551793,-0.04333906445520852
206,9137.0,7566060225.80292,0.243184055783871,2018-04-17,-0.04333906445520852,0.07864140371501427
207,5473.0,8161065822.5524,0.262308391291825,2018-04-18,0.07864140371501427,0.02756850129347499
208,6612.0,8386054176.23757,0.269539840516443,2018-04-19,0.02756850129347499,0.11464411064264524
209,6655.0,9347465899.07336,0.300440995815211,2018-04-20,0.11464411064264524,-0.048829556104750704
210,5349.0,8891033288.51731,0.285770595353885,2018-04-21,-0.048829556104750704,-0.01099448925440416
211,4965.0,8793280918.56616,0.282628693614042,2018-04-22,-0.01099448925440416,0.01638534078201559
212,5244.0,8937361823.00886,0.287259661073684,2018-04-23,0.01638534078201559,0.08489540479394897
213,7520.0,9696102772.76319,0.311646686281507,2018-04-24,0.08489540479394897,-0.13727918382426485
214,6070.0,8365029697.84207,0.268864083547245,2018-04-25,-0.13727918382426485,0.08632439782530343
215,5676.0,9087135849.29906,0.292073613656313,2018-04-26,0.08632439782530343,-0.018508546271509996
216,5798.0,8918946174.95681,0.286667755663268,2018-04-27,-0.018508546271509996,0.24860825384954466
217,8187.0,11136269809.6909,0.357935725833681,2018-04-28,0.24860825384954466,0.013285933666827399
218,7963.0,11284225551.6783,0.362691236144095,2018-04-29,0.013285933666827399,-0.07204415329831348
219,6129.0,10471263076.1805,0.336561453127375,2018-04-30,-0.07204415329831348,0.05341390311935523
220,5958.0,11030574107.6689,0.35453851397843,2018-05-01,0.05341390311935523,0.04728437025681198
221,6299.0,11552147857.9211,0.371302644343686,2018-05-02,0.04728437025681198,-0.015099252361339466
222,5646.0,11377719062.0988,0.365696252014308,2018-05-03,-0.015099252361339466,-0.019854624543028887
223,5322.0,11151818721.9648,0.358435490233771,2018-05-04,-0.019854624543028887,0.012781861496990565
224,4963.0,11294359724.3085,0.363016963025545,2018-05-05,0.012781861496990565,-0.05509975261475719
225,3775.0,10672043297.557,0.343014818167877,2018-05-06,-0.05509975261475719,-0.039419427440715915
226,4781.0,10251357461.1448,0.329493370432018,2018-05-07,-0.039419427440715915,-0.016671661595772158
227,5058.0,10080450298.6553,0.324000168462125,2018-05-08,-0.016671661595772158,-0.019516262535277606
228,4670.0,9883717584.15292,0.317676896112944,2018-05-09,-0.019516262535277606,-0.07254941223637168
229,4808.0,9166659682.71233,0.294629624018875,2018-05-10,-0.07254941223637168,-0.12347557785657493
230,5786.0,8034801081.37486,0.258250060939479,2018-05-11,-0.12347557785657493,0.027737584869378606
231,4396.0,8257667058.27807,0.26541329392231,2018-05-12,0.027737584869378606,0.049636182927202066
232,4142.0,8667546130.93469,0.278587396730749,2018-05-13,0.049636182927202066,-0.044889709145567114
233,4371.0,8278462506.11125,0.266081689519885,2018-05-14,-0.044889709145567114,-0.03947475094447661
234,4342.0,7951672260.47932,0.255578181095202,2018-05-15,-0.03947475094447661,-0.01840207013268491
235,3683.0,7805345029.86985,0.250875013482304,2018-05-16,-0.01840207013268491,-0.04490510981617002
236,3810.0,7454845154.15045,0.239609443451748,2018-05-17,-0.04490510981617002,0.014157000021479016
237,4001.0,7560383397.15788,0.243001594347841,2018-05-18,0.014157000021479016,-0.007279873104041323
238,3134.0,7505344765.40867,0.241232573576909,2018-05-19,-0.007279873104041323,0.05531595491861174
239,3746.0,7920510078.10066,0.25457658374179,2018-05-20,0.05531595491861174,-0.03181835520375198
240,3559.0,7668492475.04075,0.246476375573736,2018-05-21,-0.03181835520375198,-0.10260033532073198
241,3816.0,6881702575.69706,0.221187816791232,2018-05-22,-0.10260033532073198,-0.09736950137677625
242,4864.0,6211634627.27816,0.199650869359652,2018-05-23,-0.09736950137677625,0.037032040514961784
243,4224.0,6441664132.45967,0.207044348442626,2018-05-24,0.037032040514961784,-0.05110231763585149
244,4491.0,6112480165.85924,0.196463902383803,2018-05-25,-0.05110231763585149,-0.008060525519722916
245,3110.0,6063210363.49353,0.194880300084934,2018-05-26,-0.008060525519722916,-0.01607437782560761
246,3578.0,5965748029.2746,0.191747720510601,2018-05-27,-0.01607437782560761,-0.09626539368616105
247,4345.0,5391452946.60404,0.173289050707224,2018-05-28,-0.09626539368616105,0.16180398067818103
248,5284.0,6263811495.00368,0.201327908919596,2018-05-29,0.16180398067818103,0.04163452289020486
249,4699.0,6524602298.07234,0.209710100351946,2018-05-30,0.04163452289020486,0.05866013406938819
250,5437.0,6907336343.6267,0.222011722954296,2018-05-31,0.05866013406938819,-0.008433480843096919
251,3846.0,6849083454.8959,0.220139391341818,2018-06-01,-0.008433480843096919,0.031355859699539135
252,3461.0,7063842354.77805,0.227042051211074,2018-06-02,0.031355859699539135,-0.004029015714263284
253,4022.0,7035382022.92757,0.226127295218946,2018-06-03,-0.004029015714263284,-0.06429022265649054
254,3884.0,6583075746.20008,0.21158952106061,2018-06-04,-0.06429022265649054,0.031125984828386022
